勇ましい,形容詞,自立,*,*,勇ましい,形容詞・イ段,基本形
話,名詞,サ変接続,*,*,話,*,*
が,助詞,格助詞,一般,*,が,*,*
並ん,動詞,自立,*,*,並ぶ,五段・バ行,連用タ接続
で,助詞,接続助詞,*,*,で,*,*
いる,動詞,非自立,*,*,いる,一段,基本形
だけ,助詞,副助詞,*,*,だけ,*,*
玉城幹事長,名詞,複合,*,*,玉城幹事長,*,*
が,助詞,格助詞,一般,*,が,*,*
2月12日,名詞,複合,*,*,2月12日,*,*
総理,名詞,一般,*,*,総理,*,*
の,助詞,連体化,*,*,の,*,*
施政方針演説,名詞,複合,*,*,施政方針演説,*,*
を,助詞,格助詞,一般,*,を,*,*
受け,動詞,自立,*,*,受ける,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
記者会見,名詞,複合,*,*,記者会見,*,*
を,助詞,格助詞,一般,*,を,*,*
行い,動詞,自立,*,*,行う,五段・ワ行促音便,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
党ホームページ,名詞,複合,*,*,党ホームページ,*,*
に,助詞,格助詞,一般,*,に,*,*
会見動画,名詞,複合,*,*,会見動画,*,*
を,助詞,格助詞,一般,*,を,*,*
掲載,名詞,サ変接続,*,*,掲載,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
