ご,接頭詞,名詞接続,*,*,ご,*,*
冥福,名詞,一般,*,*,冥福,*,*
を,助詞,格助詞,一般,*,を,*,*
お祈り,名詞,サ変接続,*,*,お祈り,*,*
致し,動詞,非自立,*,*,致す,五段・サ行,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
桂,名詞,固有名詞,人名,姓,桂,*,*
歌丸,名詞,固有名詞,人名,名,歌丸,*,*
さん,名詞,接尾,人名,*,さん,*,*
は,助詞,係助詞,*,*,は,*,*
訴え,動詞,自立,*,*,訴える,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
い,動詞,非自立,*,*,いる,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
戦争,名詞,サ変接続,*,*,戦争,*,*
の,助詞,連体化,*,*,の,*,*
愚か,名詞,形容動詞語幹,*,*,愚か,*,*
さ,名詞,接尾,特殊,*,さ,*,*
を,助詞,格助詞,一般,*,を,*,*
あんな,連体詞,*,*,*,あんな,*,*
もの,名詞,非自立,一般,*,もの,*,*
は,助詞,係助詞,*,*,は,*,*
愚,名詞,一般,*,*,愚,*,*
の,助詞,連体化,*,*,の,*,*
骨頂,名詞,一般,*,*,骨頂,*,*
です,助動詞,*,*,*,です,特殊・デス,基本形
