桜田代表,名詞,複合,*,*,桜田代表,*,*
カジノ構想,名詞,複合,*,*,カジノ構想,*,*
の,助詞,連体化,*,*,の,*,*
背景,名詞,一般,*,*,背景,*,*
に,助詞,格助詞,一般,*,に,*,*
は,助詞,係助詞,*,*,は,*,*
大阪経済,名詞,複合,*,*,大阪経済,*,*
へ,助詞,格助詞,一般,*,へ,*,*
の,助詞,連体化,*,*,の,*,*
深い,形容詞,自立,*,*,深い,形容詞・アウオ段,基本形
あきらめ,名詞,一般,*,*,あきらめ,*,*
が,助詞,格助詞,一般,*,が,*,*
ある,動詞,自立,*,*,ある,五段・ラ行,基本形
1990年代,名詞,複合,*,*,1990年代,*,*
から,助詞,格助詞,一般,*,から,*,*
繰り返し,動詞,自立,*,*,繰り返す,五段・サ行,連用形
集客産業,名詞,複合,*,*,集客産業,*,*
に,助詞,格助詞,一般,*,に,*,*
傾注,名詞,サ変接続,*,*,傾注,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
き,動詞,非自立,*,*,くる,カ変・クル,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
なれ,助動詞,*,*,*,なり,文語・ナリ,仮定形
の,助詞,連体化,*,*,の,*,*
果て,名詞,一般,*,*,果て,*,*
が,助詞,格助詞,一般,*,が,*,*
カジノ,名詞,一般,*,*,カジノ,*,*
だ,助動詞,*,*,*,だ,特殊・ダ,基本形
大阪,名詞,固有名詞,地域,一般,大阪,*,*
を,助詞,格助詞,一般,*,を,*,*
どう,副詞,助詞類接続,*,*,どう,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
の,名詞,非自立,一般,*,の,*,*
か,助詞,副助詞／並立助詞／終助詞,*,*,か,*,*
いい,形容詞,自立,*,*,いい,形容詞・イイ,基本形
まちづくり,名詞,複合,*,*,まちづくり,*,*
の,助詞,連体化,*,*,の,*,*
足がかり,名詞,一般,*,*,足がかり,*,*
に,助詞,格助詞,一般,*,に,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
いき,動詞,非自立,*,*,いく,五段・カ行促音便,連用形
たい,助動詞,*,*,*,たい,特殊・タイ,基本形
カジノ,名詞,一般,*,*,カジノ,*,*
で,助詞,格助詞,一般,*,で,*,*
振興,名詞,サ変接続,*,*,振興,*,*
は,助詞,係助詞,*,*,は,*,*
幻想/大阪,名詞,複合,*,*,幻想/大阪,*,*
で,助詞,格助詞,一般,*,で,*,*
シンポ,名詞,一般,*,*,シンポ,*,*
商...,名詞,複合,*,*,商...,*,*
