q.,名詞,複合,*,*,q.,*,*
働き,動詞,自立,*,*,働く,五段・カ行イ音便,連用形
方改革,名詞,複合,*,*,方改革,*,*
の,助詞,連体化,*,*,の,*,*
中,名詞,非自立,副詞可能,*,中,*,*
で,助詞,格助詞,一般,*,で,*,*
検討,名詞,サ変接続,*,*,検討,*,*
さ,動詞,自立,*,*,する,サ変・スル,未然レル接続
れ,動詞,接尾,*,*,れる,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
いる,動詞,非自立,*,*,いる,一段,基本形
高度プロフェッショナル制度,名詞,複合,*,*,高度プロフェッショナル制度,*,*
と,助詞,格助詞,引用,*,と,*,*
は,助詞,係助詞,*,*,は,*,*
何,名詞,代名詞,一般,*,何,*,*
か,助詞,副助詞／並立助詞／終助詞,*,*,か,*,*
?a.,名詞,複合,*,*,?a.,*,*
4週間,名詞,複合,*,*,4週間,*,*
の,助詞,連体化,*,*,の,*,*
最初,名詞,一般,*,*,最初,*,*
に,助詞,格助詞,一般,*,に,*,*
4日,名詞,複合,*,*,4日,*,*
休め,動詞,自立,*,*,休む,五段・マ行,仮定形
ば,助詞,接続助詞,*,*,ば,*,*
次,名詞,一般,*,*,次,*,*
の,助詞,連体化,*,*,の,*,*
休み,名詞,一般,*,*,休み,*,*
まで,助詞,副助詞,*,*,まで,*,*
24時間,名詞,複合,*,*,24時間,*,*
ぶっ,接頭詞,動詞接続,*,*,ぶっ,*,*
通し48日間連続,名詞,複合,*,*,通し48日間連続,*,*
で,助詞,格助詞,一般,*,で,*,*
働かせる,動詞,自立,*,*,働かせる,一段,基本形
こと,名詞,非自立,一般,*,こと,*,*
が,助詞,格助詞,一般,*,が,*,*
合法,名詞,一般,*,*,合法,*,*
に,助詞,格助詞,一般,*,に,*,*
なる,動詞,自立,*,*,なる,五段・ラ行,基本形
制度,名詞,一般,*,*,制度,*,*
です,助動詞,*,*,*,です,特殊・デス,基本形
参考記事)...,名詞,複合,*,*,参考記事)...,*,*
