麻生財務相,名詞,複合,*,*,麻生財務相,*,*
は,助詞,係助詞,*,*,は,*,*
研修,名詞,サ変接続,*,*,研修,*,*
を,助詞,格助詞,一般,*,を,*,*
受け,動詞,自立,*,*,受ける,一段,未然形
なかっ,助動詞,*,*,*,ない,特殊・ナイ,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
の,名詞,非自立,一般,*,の,*,*
でしょ,助動詞,*,*,*,です,特殊・デス,未然形
う,助動詞,*,*,*,う,不変化型,基本形
か,助詞,副助詞／並立助詞／終助詞,*,*,か,*,*
財務省,名詞,固有名詞,組織,*,財務省,*,*
で,助詞,格助詞,一般,*,で,*,*
セクハラ研修,名詞,複合,*,*,セクハラ研修,*,*
講師,名詞,一般,*,*,講師,*,*
世の中,名詞,一般,*,*,世の中,*,*
の,助詞,連体化,*,*,の,*,*
常識,名詞,一般,*,*,常識,*,*
と,助詞,格助詞,引用,*,と,*,*
ズレ,動詞,自立,*,*,ズレる,一段,連用形
てる,動詞,非自立,*,*,てる,一段,基本形
:朝日新聞デジタル,名詞,複合,*,*,:朝日新聞デジタル,*,*
