nisc,名詞,固有名詞,組織,*,nisc,*,*
は,助詞,係助詞,*,*,は,*,*
個人,名詞,一般,*,*,個人,*,*
情報,名詞,一般,*,*,情報,*,*
の,助詞,連体化,*,*,の,*,*
入力,名詞,サ変接続,*,*,入力,*,*
など,助詞,副助詞,*,*,など,*,*
は,助詞,係助詞,*,*,は,*,*
避け,動詞,自立,*,*,避ける,一段,連用形
携帯,名詞,サ変接続,*,*,携帯,*,*
回線,名詞,一般,*,*,回線,*,*
や,助詞,並立助詞,*,*,や,*,*
通信,名詞,サ変接続,*,*,通信,*,*
経路,名詞,一般,*,*,経路,*,*
を,助詞,格助詞,一般,*,を,*,*
暗号,名詞,一般,*,*,暗号,*,*
化,名詞,接尾,サ変接続,*,化,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
vpn,名詞,固有名詞,組織,*,vpn,*,*
ソフト,名詞,一般,*,*,ソフト,*,*
の,助詞,連体化,*,*,の,*,*
利用,名詞,サ変接続,*,*,利用,*,*
を,助詞,格助詞,一般,*,を,*,*
と,助詞,格助詞,引用,*,と,*,*
呼びかけ,動詞,自立,*,*,呼びかける,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
いる,動詞,非自立,*,*,いる,一段,基本形
災害,名詞,一般,*,*,災害,*,*
時,名詞,接尾,副詞可能,*,時,*,*
無料,名詞,一般,*,*,無料,*,*
wi,名詞,一般,*,*,wi,*,*
-,名詞,サ変接続,*,*,-,*,*
fi,名詞,一般,*,*,fi,*,*
個人,名詞,一般,*,*,個人,*,*
情報,名詞,一般,*,*,情報,*,*
入れ,動詞,自立,*,*,入れる,一段,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,連用デ接続
で,助詞,接続助詞,*,*,で,*,*
盗聴,名詞,サ変接続,*,*,盗聴,*,*
の,助詞,連体化,*,*,の,*,*
恐れ,名詞,一般,*,*,恐れ,*,*
:,名詞,サ変接続,*,*,:,*,*
朝日新聞,名詞,固有名詞,組織,*,朝日新聞,*,*
デジタル,名詞,一般,*,*,デジタル,*,*
