新潟県知事選挙,名詞,複合,*,*,新潟県知事選挙,*,*
に,助詞,格助詞,一般,*,に,*,*
勝利,名詞,サ変接続,*,*,勝利,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
米山隆一氏,名詞,複合,*,*,米山隆一氏,*,*
が,助詞,格助詞,一般,*,が,*,*
森ゆうこ参議院議員,名詞,複合,*,*,森ゆうこ参議院議員,*,*
とともに,助詞,格助詞,連語,*,とともに,*,*
社民党本部,名詞,複合,*,*,社民党本部,*,*
に,助詞,格助詞,一般,*,に,*,*
表敬訪問,名詞,複合,*,*,表敬訪問,*,*
に,助詞,格助詞,一般,*,に,*,*
来ら,動詞,自立,*,*,来る,五段・ラ行,未然形
れ,動詞,接尾,*,*,れる,一段,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
脱,接頭詞,名詞接続,*,*,脱,*,*
原発,名詞,一般,*,*,原発,*,*
を,助詞,格助詞,一般,*,を,*,*
目指し,動詞,自立,*,*,目指す,五段・サ行,連用形
て,助詞,接続助詞,*,*,て,*,*
引き続き,副詞,一般,*,*,引き続き,*,*
協力,名詞,サ変接続,*,*,協力,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
いこ,動詞,非自立,*,*,いく,五段・カ行促音便,未然ウ接続
う,助動詞,*,*,*,う,不変化型,基本形
と,助詞,格助詞,引用,*,と,*,*
吉田党首,名詞,複合,*,*,吉田党首,*,*
と,助詞,格助詞,一般,*,と,*,*
固く,形容詞,自立,*,*,固い,形容詞・アウオ段,連用テ接続
握手,名詞,サ変接続,*,*,握手,*,*
を,助詞,格助詞,一般,*,を,*,*
交わし,動詞,自立,*,*,交わす,五段・サ行,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
