松本死刑囚ら,名詞,複合,*,*,松本死刑囚ら,*,*
の,助詞,連体化,*,*,の,*,*
死刑執行,名詞,複合,*,*,死刑執行,*,*
について,助詞,格助詞,連語,*,について,*,*
(談話)●オウム真理教,名詞,複合,*,*,(談話)●オウム真理教,*,*
による,助詞,格助詞,連語,*,による,*,*
重大事件,名詞,複合,*,*,重大事件,*,*
は,助詞,係助詞,*,*,は,*,*
断じて,副詞,一般,*,*,断じて,*,*
許さ,動詞,自立,*,*,許す,五段・サ行,未然形
れ,動詞,接尾,*,*,れる,一段,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
一連,名詞,一般,*,*,一連,*,*
の,助詞,連体化,*,*,の,*,*
事件,名詞,一般,*,*,事件,*,*
の,助詞,連体化,*,*,の,*,*
犠牲,名詞,一般,*,*,犠牲,*,*
と,助詞,格助詞,一般,*,と,*,*
なり,動詞,自立,*,*,なる,五段・ラ行,連用形
亡くなら,動詞,自立,*,*,亡くなる,五段・ラ行,未然形
れ,動詞,接尾,*,*,れる,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
方,名詞,非自立,一般,*,方,*,*
に,助詞,格助詞,一般,*,に,*,*
哀悼,名詞,サ変接続,*,*,哀悼,*,*
の,助詞,連体化,*,*,の,*,*
意,名詞,一般,*,*,意,*,*
を,助詞,格助詞,一般,*,を,*,*
表する,動詞,自立,*,*,表する,サ変・−スル,基本形
とともに,助詞,格助詞,連語,*,とともに,*,*
すべて,名詞,副詞可能,*,*,すべて,*,*
の,助詞,連体化,*,*,の,*,*
被害者,名詞,複合,*,*,被害者,*,*
と,助詞,格助詞,一般,*,と,*,*
その,連体詞,*,*,*,その,*,*
ご,接頭詞,名詞接続,*,*,ご,*,*
家族,名詞,一般,*,*,家族,*,*
に,助詞,格助詞,一般,*,に,*,*
お,接頭詞,名詞接続,*,*,お,*,*
見舞い,名詞,サ変接続,*,*,見舞い,*,*
を,助詞,格助詞,一般,*,を,*,*
申し上げる,動詞,自立,*,*,申し上げる,一段,基本形
大量執行,名詞,複合,*,*,大量執行,*,*
で,助詞,格助詞,一般,*,で,*,*
徹底,名詞,サ変接続,*,*,徹底,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
事実解...,名詞,複合,*,*,事実解...,*,*
