衆議院,名詞,固有名詞,組織,*,衆議院,*,*
の,助詞,連体化,*,*,の,*,*
解散,名詞,サ変接続,*,*,解散,*,*
に当たって,助詞,格助詞,連語,*,に当たって,*,*
(,名詞,サ変接続,*,*,(,*,*
声明,名詞,サ変接続,*,*,声明,*,*
)●,名詞,サ変接続,*,*,)●,*,*
社民党,名詞,固有名詞,組織,*,社民党,*,*
は,助詞,係助詞,*,*,は,*,*
社会,名詞,一般,*,*,社会,*,*
民主,名詞,一般,*,*,民主,*,*
主義,名詞,一般,*,*,主義,*,*
の,助詞,連体化,*,*,の,*,*
旗,名詞,一般,*,*,旗,*,*
を,助詞,格助詞,一般,*,を,*,*
高く,形容詞,自立,*,*,高い,形容詞・アウオ段,連用テ接続
掲げ,動詞,自立,*,*,掲げる,一段,連用形
憲法,名詞,一般,*,*,憲法,*,*
を,助詞,格助詞,一般,*,を,*,*
活かす,動詞,自立,*,*,活かす,五段・サ行,基本形
政治,名詞,一般,*,*,政治,*,*
国民,名詞,一般,*,*,国民,*,*
生活,名詞,サ変接続,*,*,生活,*,*
最,接頭詞,名詞接続,*,*,最,*,*
優先,名詞,サ変接続,*,*,優先,*,*
の,助詞,連体化,*,*,の,*,*
政治,名詞,一般,*,*,政治,*,*
の,助詞,連体化,*,*,の,*,*
実現,名詞,サ変接続,*,*,実現,*,*
を,助詞,格助詞,一般,*,を,*,*
目指し,動詞,自立,*,*,目指す,五段・サ行,連用形
全力,名詞,一般,*,*,全力,*,*
で,助詞,格助詞,一般,*,で,*,*
戦い,名詞,一般,*,*,戦い,*,*
抜き,動詞,自立,*,*,抜く,五段・カ行イ音便,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
