加計学園,名詞,複合,*,*,加計学園,*,*
獣医学部,名詞,複合,*,*,獣医学部,*,*
は,助詞,係助詞,*,*,は,*,*
世界最高水準,名詞,複合,*,*,世界最高水準,*,*
と,助詞,格助詞,引用,*,と,*,*
言い,動詞,自立,*,*,言う,五段・ワ行促音便,連用形
つつ,助詞,接続助詞,*,*,つつ,*,*
設置審,名詞,複合,*,*,設置審,*,*
の,助詞,連体化,*,*,の,*,*
警告意見,名詞,複合,*,*,警告意見,*,*
が,助詞,格助詞,一般,*,が,*,*
他,接頭詞,名詞接続,*,*,他,*,*
大学,名詞,一般,*,*,大学,*,*
より,助詞,格助詞,一般,*,より,*,*
圧倒的,名詞,形容動詞語幹,*,*,圧倒的,*,*
に,助詞,副詞化,*,*,に,*,*
多い,形容詞,自立,*,*,多い,形容詞・アウオ段,基本形
口蹄疫対策,名詞,複合,*,*,口蹄疫対策,*,*
と,助詞,格助詞,引用,*,と,*,*
言い,動詞,自立,*,*,言う,五段・ワ行促音便,連用形
つつ,助詞,接続助詞,*,*,つつ,*,*
実習計画,名詞,複合,*,*,実習計画,*,*
に,助詞,格助詞,一般,*,に,*,*
牛,名詞,一般,*,*,牛,*,*
の,助詞,連体化,*,*,の,*,*
解剖,名詞,サ変接続,*,*,解剖,*,*
も,助詞,係助詞,*,*,も,*,*
ない,形容詞,自立,*,*,ない,形容詞・アウオ段,基本形
とも,助詞,接続助詞,*,*,とも,*,*
指摘,名詞,サ変接続,*,*,指摘,*,*
言わば,副詞,一般,*,*,言わば,*,*
英検1級,名詞,複合,*,*,英検1級,*,*
の,助詞,連体化,*,*,の,*,*
レベル,名詞,一般,*,*,レベル,*,*
と,助詞,格助詞,引用,*,と,*,*
言い,動詞,自立,*,*,言う,五段・ワ行促音便,連用形
つつ,助詞,接続助詞,*,*,つつ,*,*
アルファベット,名詞,一般,*,*,アルファベット,*,*
も,助詞,係助詞,*,*,も,*,*
書け,動詞,自立,*,*,書ける,一段,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
レベル,名詞,一般,*,*,レベル,*,*
開学不可,名詞,複合,*,*,開学不可,*,*
なら,助動詞,*,*,*,だ,特殊・ダ,仮定形
借入...,名詞,複合,*,*,借入...,*,*
