働き,動詞,自立,*,*,働く,五段・カ行イ音便,連用形
方,名詞,接尾,特殊,*,方,*,*
法案,名詞,一般,*,*,法案,*,*
与党,名詞,一般,*,*,与党,*,*
が,助詞,格助詞,一般,*,が,*,*
採決,名詞,サ変接続,*,*,採決,*,*
提案,名詞,サ変接続,*,*,提案,*,*
野党,名詞,一般,*,*,野党,*,*
応じ,動詞,自立,*,*,応じる,一段,未然形
ず,助動詞,*,*,*,ぬ,特殊・ヌ,連用ニ接続
参院,名詞,固有名詞,組織,*,参院,*,*
委,名詞,接尾,一般,*,委,*,*
|,名詞,サ変接続,*,*,|,*,*
2018,名詞,数,*,*,2018,*,*
/,名詞,サ変接続,*,*,/,*,*
6,名詞,数,*,*,6,*,*
/,名詞,サ変接続,*,*,/,*,*
27,名詞,数,*,*,27,*,*
-,名詞,サ変接続,*,*,-,*,*
共同通信,名詞,固有名詞,組織,*,共同通信,*,*
28,名詞,数,*,*,28,*,*
日,名詞,接尾,助数詞,*,日,*,*
に,助詞,格助詞,一般,*,に,*,*
同,接頭詞,名詞接続,*,*,同,*,*
委員,名詞,一般,*,*,委員,*,*
会,名詞,接尾,一般,*,会,*,*
で,助詞,格助詞,一般,*,で,*,*
質疑,名詞,サ変接続,*,*,質疑,*,*
を,助詞,格助詞,一般,*,を,*,*
行っ,動詞,自立,*,*,行う,五段・ワ行促音便,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
上,名詞,非自立,副詞可能,*,上,*,*
で,助詞,格助詞,一般,*,で,*,*
採決,名詞,サ変接続,*,*,採決,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
日程,名詞,一般,*,*,日程,*,*
国会,名詞,一般,*,*,国会,*,*
2018,名詞,数,*,*,2018,*,*
高,接頭詞,名詞接続,*,*,高,*,*
プロ,名詞,一般,*,*,プロ,*,*
止めろ,動詞,自立,*,*,止める,一段,命令ｒｏ
全国,名詞,一般,*,*,全国,*,*
一斉,名詞,副詞可能,*,*,一斉,*,*
抗議,名詞,サ変接続,*,*,抗議,*,*
サービス,名詞,サ変接続,*,*,サービス,*,*
残業,名詞,サ変接続,*,*,残業,*,*
合法,名詞,一般,*,*,合法,*,*
化,名詞,接尾,サ変接続,*,化,*,*
法案,名詞,一般,*,*,法案,*,*
