みんな,名詞,代名詞,一般,*,みんな,*,*
で,助詞,格助詞,一般,*,で,*,*
考えよ,動詞,自立,*,*,考える,一段,未然ウ接続
う,助動詞,*,*,*,う,不変化型,基本形
ニッポン,名詞,固有名詞,地域,国,ニッポン,*,*
の,助詞,連体化,*,*,の,*,*
平和,名詞,形容動詞語幹,*,*,平和,*,*
北朝鮮,名詞,固有名詞,地域,国,北朝鮮,*,*
に対する,助詞,格助詞,連語,*,に対する,*,*
日本,名詞,固有名詞,地域,国,日本,*,*
の,助詞,連体化,*,*,の,*,*
対応,名詞,サ変接続,*,*,対応,*,*
は,助詞,係助詞,*,*,は,*,*
?」】,名詞,サ変接続,*,*,?」】,*,*
本日,名詞,副詞可能,*,*,本日,*,*
銀座,名詞,固有名詞,地域,一般,銀座,*,*
4,名詞,数,*,*,4,*,*
丁目,名詞,接尾,助数詞,*,丁目,*,*
交差点,名詞,一般,*,*,交差点,*,*
で,助詞,格助詞,一般,*,で,*,*
行っ,動詞,自立,*,*,行う,五段・ワ行促音便,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
街頭,名詞,一般,*,*,街頭,*,*
アンケート,名詞,一般,*,*,アンケート,*,*
結果,名詞,副詞可能,*,*,結果,*,*
は,助詞,係助詞,*,*,は,*,*
こちら,名詞,代名詞,一般,*,こちら,*,*
です,助動詞,*,*,*,です,特殊・デス,基本形
(,名詞,サ変接続,*,*,(,*,*
枠,名詞,接尾,一般,*,枠,*,*
と,助詞,並立助詞,*,*,と,*,*
枠,名詞,一般,*,*,枠,*,*
の,助詞,連体化,*,*,の,*,*
間,名詞,一般,*,*,間,*,*
の,助詞,連体化,*,*,の,*,*
赤色,名詞,一般,*,*,赤色,*,*
シール,名詞,一般,*,*,シール,*,*
は,助詞,係助詞,*,*,は,*,*
中立,名詞,サ変接続,*,*,中立,*,*
の,助詞,連体化,*,*,の,*,*
ご,接頭詞,名詞接続,*,*,ご,*,*
意見,名詞,サ変接続,*,*,意見,*,*
です,助動詞,*,*,*,です,特殊・デス,基本形
),名詞,サ変接続,*,*,),*,*
ご,接頭詞,名詞接続,*,*,ご,*,*
参加,名詞,サ変接続,*,*,参加,*,*
いただい,動詞,非自立,*,*,いただく,五段・カ行イ音便,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
みなさん,名詞,代名詞,一般,*,みなさん,*,*
ありがとう,感動詞,*,*,*,ありがとう,*,*
ござい,助動詞,*,*,*,ござる,五段・ラ行特殊,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
!...,名詞,サ変接続,*,*,!...,*,*
