希望,名詞,サ変接続,*,*,希望,*,*
の,助詞,連体化,*,*,の,*,*
党,名詞,一般,*,*,党,*,*
は,助詞,係助詞,*,*,は,*,*
3,名詞,数,*,*,3,*,*
月,名詞,一般,*,*,月,*,*
7,名詞,数,*,*,7,*,*
日,名詞,接尾,助数詞,*,日,*,*
東日本,名詞,固有名詞,地域,一般,東日本,*,*
大震災,名詞,一般,*,*,大震災,*,*
の,助詞,連体化,*,*,の,*,*
被災,名詞,サ変接続,*,*,被災,*,*
地,名詞,接尾,一般,*,地,*,*
の,助詞,連体化,*,*,の,*,*
復興,名詞,サ変接続,*,*,復興,*,*
を,助詞,格助詞,一般,*,を,*,*
促進,名詞,サ変接続,*,*,促進,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
ため,名詞,非自立,副詞可能,*,ため,*,*
復興,名詞,サ変接続,*,*,復興,*,*
加速,名詞,サ変接続,*,*,加速,*,*
4,名詞,数,*,*,4,*,*
法案,名詞,一般,*,*,法案,*,*
を,助詞,格助詞,一般,*,を,*,*
立憲,名詞,一般,*,*,立憲,*,*
民,名詞,一般,*,*,民,*,*
進,名詞,固有名詞,人名,名,進,*,*
共産,名詞,固有名詞,組織,*,共産,*,*
自由,名詞,形容動詞語幹,*,*,自由,*,*
社民,名詞,固有名詞,組織,*,社民,*,*
の,助詞,連体化,*,*,の,*,*
野党,名詞,一般,*,*,野党,*,*
6,名詞,数,*,*,6,*,*
党,名詞,一般,*,*,党,*,*
で,助詞,格助詞,一般,*,で,*,*
衆議院,名詞,固有名詞,組織,*,衆議院,*,*
に,助詞,格助詞,一般,*,に,*,*
共同,名詞,サ変接続,*,*,共同,*,*
提出,名詞,サ変接続,*,*,提出,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
