希望,名詞,サ変接続,*,*,希望,*,*
の,助詞,連体化,*,*,の,*,*
党代表定例記者会見,名詞,複合,*,*,党代表定例記者会見,*,*
本日7/19(木)16時,名詞,複合,*,*,本日7/19(木)16時,*,*
より,助詞,格助詞,一般,*,より,*,*
生放送!今週,名詞,複合,*,*,生放送!今週,*,*
も,助詞,係助詞,*,*,も,*,*
やり,動詞,自立,*,*,やる,五段・ラ行,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
!皆様,名詞,複合,*,*,!皆様,*,*
から,助詞,格助詞,一般,*,から,*,*
事前,名詞,一般,*,*,事前,*,*
に,助詞,格助詞,一般,*,に,*,*
頂い,動詞,自立,*,*,頂く,五段・カ行イ音便,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
質問,名詞,サ変接続,*,*,質問,*,*
に,助詞,格助詞,一般,*,に,*,*
松沢代表,名詞,複合,*,*,松沢代表,*,*
が,助詞,格助詞,一般,*,が,*,*
直接,名詞,副詞可能,*,*,直接,*,*
答える,動詞,自立,*,*,答える,一段,基本形
希望,名詞,サ変接続,*,*,希望,*,*
の,助詞,連体化,*,*,の,*,*
即答,名詞,サ変接続,*,*,即答,*,*
コーナー!,名詞,複合,*,*,コーナー!,*,*
お,接頭詞,名詞接続,*,*,お,*,*
時間,名詞,副詞可能,*,*,時間,*,*
の,助詞,連体化,*,*,の,*,*
合わ,動詞,自立,*,*,合う,五段・ワ行促音便,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
方,名詞,非自立,一般,*,方,*,*
も,助詞,係助詞,*,*,も,*,*
タイ...,名詞,複合,*,*,タイ...,*,*
