日本記者クラブ,名詞,複合,*,*,日本記者クラブ,*,*
にて,助詞,格助詞,一般,*,にて,*,*
玉木代表,名詞,複合,*,*,玉木代表,*,*
が,助詞,格助詞,一般,*,が,*,*
会見,名詞,サ変接続,*,*,会見,*,*
を,助詞,格助詞,一般,*,を,*,*
行い,動詞,自立,*,*,行う,五段・ワ行促音便,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
党,名詞,一般,*,*,党,*,*
の,助詞,連体化,*,*,の,*,*
基本方針,名詞,複合,*,*,基本方針,*,*
や,助詞,並立助詞,*,*,や,*,*
安保政策,名詞,複合,*,*,安保政策,*,*
財政政策,名詞,複合,*,*,財政政策,*,*
など,助詞,副助詞,*,*,など,*,*
を,助詞,格助詞,一般,*,を,*,*
中心,名詞,一般,*,*,中心,*,*
に,助詞,格助詞,一般,*,に,*,*
お話し,名詞,サ変接続,*,*,お話し,*,*
いたし,動詞,非自立,*,*,いたす,五段・サ行,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
希望,名詞,サ変接続,*,*,希望,*,*
の,助詞,連体化,*,*,の,*,*
党,名詞,一般,*,*,党,*,*
