youtube,名詞,固有名詞,組織,*,youtube,*,*
の,助詞,連体化,*,*,の,*,*
希望,名詞,サ変接続,*,*,希望,*,*
の,助詞,連体化,*,*,の,*,*
党,名詞,一般,*,*,党,*,*
公式,名詞,形容動詞語幹,*,*,公式,*,*
チャンネル,名詞,一般,*,*,チャンネル,*,*
で,助詞,格助詞,一般,*,で,*,*
代表,名詞,サ変接続,*,*,代表,*,*
遊説,名詞,サ変接続,*,*,遊説,*,*
ダイジェスト,名詞,サ変接続,*,*,ダイジェスト,*,*
を,助詞,格助詞,一般,*,を,*,*
アップ,名詞,サ変接続,*,*,アップ,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
い,動詞,非自立,*,*,いる,一段,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
!,名詞,サ変接続,*,*,!,*,*
より,助詞,格助詞,一般,*,より,*,*
多く,名詞,副詞可能,*,*,多く,*,*
の,助詞,連体化,*,*,の,*,*
方,名詞,非自立,一般,*,方,*,*
に,助詞,格助詞,一般,*,に,*,*
ご覧,名詞,一般,*,*,ご覧,*,*
いただけ,動詞,自立,*,*,いただける,一段,連用形
たら,助動詞,*,*,*,た,特殊・タ,仮定形
と,助詞,格助詞,引用,*,と,*,*
思い,動詞,自立,*,*,思う,五段・ワ行促音便,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
10,名詞,数,*,*,10,*,*
月,名詞,一般,*,*,月,*,*
10,名詞,数,*,*,10,*,*
日,名詞,接尾,助数詞,*,日,*,*
(,名詞,サ変接続,*,*,(,*,*
火,名詞,接尾,一般,*,火,*,*
),名詞,サ変接続,*,*,),*,*
希望,名詞,サ変接続,*,*,希望,*,*
の,助詞,連体化,*,*,の,*,*
党,名詞,一般,*,*,党,*,*
小池,名詞,固有名詞,人名,姓,小池,*,*
百合子,名詞,固有名詞,人名,名,百合子,*,*
代表,名詞,サ変接続,*,*,代表,*,*
遊説,名詞,サ変接続,*,*,遊説,*,*
ダイジェスト,名詞,サ変接続,*,*,ダイジェスト,*,*
さん,名詞,接尾,人名,*,さん,*,*
から,助詞,格助詞,一般,*,から,*,*
