長崎,名詞,固有名詞,地域,一般,長崎,*,*
は,助詞,係助詞,*,*,は,*,*
9,名詞,数,*,*,9,*,*
日,名詞,接尾,助数詞,*,日,*,*
72,名詞,数,*,*,72,*,*
回,名詞,接尾,助数詞,*,回,*,*
目,名詞,接尾,一般,*,目,*,*
の,助詞,連体化,*,*,の,*,*
原爆,名詞,一般,*,*,原爆,*,*
の,助詞,連体化,*,*,の,*,*
日,名詞,非自立,副詞可能,*,日,*,*
を,助詞,格助詞,一般,*,を,*,*
迎え,動詞,自立,*,*,迎える,一段,連用形
爆心,名詞,一般,*,*,爆心,*,*
地,名詞,接尾,一般,*,地,*,*
に,助詞,格助詞,一般,*,に,*,*
近い,形容詞,自立,*,*,近い,形容詞・アウオ段,基本形
長崎,名詞,固有名詞,地域,一般,長崎,*,*
市,名詞,接尾,地域,*,市,*,*
松山,名詞,固有名詞,地域,一般,松山,*,*
町,名詞,接尾,地域,*,町,*,*
の,助詞,連体化,*,*,の,*,*
平和,名詞,形容動詞語幹,*,*,平和,*,*
公園,名詞,一般,*,*,公園,*,*
で,助詞,格助詞,一般,*,で,*,*
市,名詞,一般,*,*,市,*,*
主催,名詞,サ変接続,*,*,主催,*,*
の,助詞,連体化,*,*,の,*,*
長崎,名詞,固有名詞,地域,一般,長崎,*,*
原爆,名詞,一般,*,*,原爆,*,*
犠牲,名詞,一般,*,*,犠牲,*,*
者,名詞,接尾,一般,*,者,*,*
慰霊,名詞,一般,*,*,慰霊,*,*
平和,名詞,形容動詞語幹,*,*,平和,*,*
祈念,名詞,サ変接続,*,*,祈念,*,*
式典,名詞,一般,*,*,式典,*,*
が,助詞,格助詞,一般,*,が,*,*
営ま,動詞,自立,*,*,営む,五段・マ行,未然形
れ,動詞,接尾,*,*,れる,一段,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
公明党,名詞,固有名詞,組織,*,公明党,*,*
から,助詞,格助詞,一般,*,から,*,*
山口,名詞,固有名詞,地域,一般,山口,*,*
那津男,名詞,一般,*,*,那津男,*,*
代表,名詞,サ変接続,*,*,代表,*,*
を,助詞,格助詞,一般,*,を,*,*
はじめ,名詞,副詞可能,*,*,はじめ,*,*
吉田,名詞,固有名詞,人名,姓,吉田,*,*
衆院,名詞,固有名詞,組織,*,衆院,*,*
議員,名詞,一般,*,*,議員,*,*
秋野,名詞,固有名詞,人名,姓,秋野,*,*
河野,名詞,固有名詞,人名,姓,河野,*,*
の,助詞,連体化,*,*,の,*,*
参院,名詞,固有名詞,組織,*,参院,*,*
議員,名詞,一般,*,*,議員,*,*
等,名詞,接尾,一般,*,等,*,*
が,助詞,格助詞,一般,*,が,*,*
参列,名詞,サ変接続,*,*,参列,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
